"Órgão (Cod)";"Órgão";"UO (Cod)";"UO";"Função (Cod)";"Função";"Subfunção (Cod)";"Subfunção";"GND (Cod)";"GND";"Autorizado";"Pago";"RP Pago"
"26000";"MINISTERIO DA EDUCACAO";"26248";"UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"4";"INVESTIMENTOS";"38844936";"1674779.5";"14866325.97"
"26000";"MINISTERIO DA EDUCACAO";"26400";"HOSPITAL UNIVERSITÁRIO DA FUNDAÇÃO UNIVERSIDADE FEDERAL DE SERGIPE";"12";"EDUCACAO";"122";"ADMINISTRACAO GERAL";"1";"PESSOAL E ENCARGOS SOCIAIS";"6356651";"6057598.14";"0"
"26000";"MINISTERIO DA EDUCACAO";"26421";"INSTITUTO FEDERAL DE RONDÔNIA";"12";"EDUCACAO";"331";"PROTECAO E BENEFICIOS AO TRABALHADOR";"3";"OUTRAS DESPESAS CORRENTES";"168000";"115200.53";"0"
"26000";"MINISTERIO DA EDUCACAO";"26394";"HOSPITAL UNIVERSITÁRIO DA FUNDAÇÃO UNIVERSIDADE DO MARANHÃO";"12";"EDUCACAO";"365";"EDUCACAO INFANTIL";"3";"OUTRAS DESPESAS CORRENTES";"156000";"123301.2";"0"
"26000";"MINISTERIO DA EDUCACAO";"26286";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO AMAPÁ";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"3";"OUTRAS DESPESAS CORRENTES";"17019137";"9541967.32";"2144394.16"
"26000";"MINISTERIO DA EDUCACAO";"26386";"HOSPITAL UNIVERSITÁRIO POLYDORO ERNANI DE SÃO THIAGO";"12";"EDUCACAO";"302";"ASSISTENCIA HOSPITALAR E AMBULATORIAL";"4";"INVESTIMENTOS";"3175667";"214435.05";"454334.35"
"26000";"MINISTERIO DA EDUCACAO";"26351";"UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"1";"PESSOAL E ENCARGOS SOCIAIS";"72548488";"71367765.38";"0"
"26000";"MINISTERIO DA EDUCACAO";"26241";"UNIVERSIDADE FEDERAL DO PARANÁ";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"1";"PESSOAL E ENCARGOS SOCIAIS";"340144648";"337691126.52";"11150.64"
"26000";"MINISTERIO DA EDUCACAO";"26239";"UNIVERSIDADE FEDERAL DO PARÁ";"12";"EDUCACAO";"128";"FORMACAO DE RECURSOS HUMANOS";"3";"OUTRAS DESPESAS CORRENTES";"1026693";"764976.26";"230252.38"
"26000";"MINISTERIO DA EDUCACAO";"26352";"FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC";"12";"EDUCACAO";"306";"ALIMENTACAO E NUTRICAO";"3";"OUTRAS DESPESAS CORRENTES";"3756203";"3730307.47";"0"
"26000";"MINISTERIO DA EDUCACAO";"26262";"UNIVERSIDADE FEDERAL DE SÃO PAULO";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"4";"INVESTIMENTOS";"66872668";"32957761";"25653322.71"
"26000";"MINISTERIO DA EDUCACAO";"26240";"UNIVERSIDADE FEDERAL DA PARAÍBA";"12";"EDUCACAO";"128";"FORMACAO DE RECURSOS HUMANOS";"3";"OUTRAS DESPESAS CORRENTES";"600000";"459198.46";"568416.16"
"26000";"MINISTERIO DA EDUCACAO";"26242";"UNIVERSIDADE FEDERAL DE PERNAMBUCO";"12";"EDUCACAO";"364";"ENSINO SUPERIOR";"4";"INVESTIMENTOS";"128466332";"11046686.78";"33953106.7"
"26000";"MINISTERIO DA EDUCACAO";"26418";"INSTITUTO FEDERAL DE PERNAMBUCO";"12";"EDUCACAO";"128";"FORMACAO DE RECURSOS HUMANOS";"3";"OUTRAS DESPESAS CORRENTES";"1070151";"376744.66";"193167.78"
"26000";"MINISTERIO DA EDUCACAO";"26403";"INSTITUTO FEDERAL DO AMAZONAS";"12";"EDUCACAO";"331";"PROTECAO E BENEFICIOS AO TRABALHADOR";"3";"OUTRAS DESPESAS CORRENTES";"924000";"737697.2";"77177.38"
